"postXtreated","postXadopted","postXadoptedXfee_2.75","postXtreatedXfee_2.75","organization_uuid","timestamp_month","log_valid_volume","log_valid_volume_w5","log_nr_payments","log_nr_payments_w5","make_sale","treated","adopted","fee_2.75","treatedXfee_2.75","adoptedXfee_2.75","start_date"
1,0,0,1,"00ace26c-a20c-11ea-b309-bac61fb20766",2020-10-01,8.99106433218846,8.99106433218846,2.39789527279837,2.39789527279837,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00ace26c-a20c-11ea-b309-bac61fb20766",2020-11-01,8.81522155592216,8.81522155592216,2.39789527279837,2.39789527279837,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00ace26c-a20c-11ea-b309-bac61fb20766",2020-12-01,9.35496006158613,9.35496006158613,2.63905732961526,2.63905732961526,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00ace26c-a20c-11ea-b309-bac61fb20766",2021-01-01,9.19532825185568,9.19532825185568,2.56494935746154,2.56494935746154,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00ace26c-a20c-11ea-b309-bac61fb20766",2021-02-01,8.67265729404031,8.67265729404031,1.94591014905531,1.94591014905531,1,1,0,1,1,0,2020-05-01
1,0,0,1,"00ace26c-a20c-11ea-b309-bac61fb20766",2021-03-01,8.61813656585384,8.61813656585384,2.39789527279837,2.39789527279837,1,1,0,1,1,0,2020-05-01
0,0,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2020-05-01,9.3160508263983,9.3160508263983,2.63905732961526,2.63905732961526,1,1,1,0,0,0,2020-05-01
0,0,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2020-06-01,10.5025987411695,10.5025987411695,4.07753744390572,4.07753744390572,1,1,1,0,0,0,2020-05-01
0,0,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2020-07-01,9.97780621677843,9.97780621677843,3.49650756146648,3.49650756146648,1,1,1,0,0,0,2020-05-01
0,0,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2020-08-01,10.5680552012128,10.5680552012128,4.11087386417331,4.11087386417331,1,1,1,0,0,0,2020-05-01
0,0,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2020-09-01,10.2119644069946,10.2119644069946,4.06044301054642,4.06044301054642,1,1,1,0,0,0,2020-05-01
1,1,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2020-10-01,10.9337674658274,10.9337674658274,4.65396035015752,4.65396035015752,1,1,1,0,0,0,2020-05-01
1,1,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2020-11-01,10.536247583081,10.536247583081,4.33073334028633,4.33073334028633,1,1,1,0,0,0,2020-05-01
1,1,0,0,"00c71596-8ccd-11ea-bb6c-9cf7c9e0f1b6",2020-12-01,10.0721749180543,10.0721749180543,3.97029191355212,3.97029191355212,1,1,1,0,0,0,2020-05-01
